0,0
Afarivaria,1
Alverossia,18
Alverovia,1
Andenovia,4
Anderia del Mar,5
Ariuzima,13
Arreciviento,43
Arvaros,7
Arvekalia,3
Azurionix,8
Baziuzim,2
Brindisola,32
Brindivaria,23
Calabrand,17
Chrysazul,1
Coral Solis,26
Coralada,27
Coraland,1
Coralmarica,157
Faraluna,55
Galduzim,10
Gavanovia,45
Helixia,10
Helvoris,1
Icarnia,20
Imazam,1
Isla Solmar,8
Islavaragon,1
Islavaria,2
Isliandor,202
Ivarisia,1
Jiraputra,10
Kethanor,1
Kethilim,33
Khamposa,2
Khamseena,1
Kilivaria,1
Kondanovia,99
Korvelonia,15
Kuzalanda,2
Kuzima,1
Lumakari,1
Lumindoria,34
Luminkind,9
Mango del Oro,7
Marebak,701
Marifada,22
Mawalara,2
Mawandia,5
Mawazam,72
Merigrad,35
Myriadonia,1
Nalakimani,1
Nalakond,161
Nalaloria,10
Naraliket,1
Novarctica,1
Novarcticaa,3
Nyxonix,1
Oceanterra,2
Oceanus,2026
Orvietola,1
Osterivaria,11
Osterivaro,5
Playa Solis,16
Polarinda,3
Polarisdom,1
Portovia,1
Puerto Sol,164
Puerto del Mar,74
Quirinelle,2
Quornova,6
Rio Isla,100
Rio Solovia,3
Riodelsol,57
Rivenisla,1
Rosvandor,2
Sirenareef,11
Sol y Oceana,90
Solovarossa,30
Solterrix,1
Syrithania,1
Talandria,24
Thessalandia,41
Utoparadia,11
Utoporiana,125
Uzifrica,5
Uziland,3
Valtalmo,3
Vesperanda,40
Vesperlandia,1
Vientoro,2
Wysterion,1
Yggdrasonia,6
ZH,3210
Zambarka,1
Zawalinda,71
